id,text
doc1,How do I reset my password? I forgot my login credentials.
doc2,What are your pricing plans for small businesses?
doc3,My app keeps crashing when I try to open it on startup.
doc4,Do you offer enterprise support and SLA guarantees?
doc5,I'm getting a 404 error when trying to access my dashboard.
doc6,Can I upgrade my subscription to the premium plan?
doc7,The download button is not working in the mobile app.
doc8,How long does it take to process a refund request?
doc9,I need help integrating your API with my application.
doc10,What payment methods do you accept for subscriptions?
doc11,My account was locked after multiple failed login attempts.
doc12,Is there a student discount available for your services?
doc13,The application is running very slowly on my device.
doc14,How can I export my data from the platform?
doc15,I would like to cancel my subscription and get a refund.
doc16,Can you help me troubleshoot connection issues?
doc17,What are the differences between the basic and pro plans?
doc18,I'm unable to upload files larger than 10MB.
doc19,Do you have a partner program or referral rewards?
doc20,The notification emails are not being delivered to my inbox.
